rank,stadium,capacity,region,country,city,images,home_team
20,Estadio Monumental,80093,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Estadio_Monumental_U_vs_SF.jpg/250px-Estadio_Monumental_U_vs_SF.jpg,Club Universitario de Deportes
21,Stadio Giuseppe Meazza,80018,Europe,Italy,"Milan, Lombardy",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg/250px-Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg,AC Milan and Internazionale
22,Guangdong Olympic Stadium,80012,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/250px-Stade_Olympique_Guangdong.JPG,
23,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/250px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,
24,Stade des Martyrs,80000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Stade_des_Martyrs_de_la_Pentec%C3%B4te.jpg/250px-Stade_des_Martyrs_de_la_Pentec%C3%B4te.jpg,Congo DR national football team
25,Beijing National Stadium,80000,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Beijing_National_Stadium_2014_2.jpg/250px-Beijing_National_Stadium_2014_2.jpg,
26,Maracanã,78838,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg/250px-Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama"
27,Azadi Stadium,78116,West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/250px-Azadi_Stadium_%287%29.jpg,"Iran national football team, Esteghlal FC, Persepolis FC"
28,Stadion Utama Gelora Bung Karno,77193,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/250px-Gbk_persija_arema_20190803.jpg,"Indonesia national football team,"
29,Atatürk Olimpiyat Stadyumu,76092,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg/250px-Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,
